#Results,HTTP requests,Query execution time,CPU load,Memory usage
Query 1 - 10 persons - probability 0.0002
1,10,0.171,10.17,66.98
1,10,0.170,11.48,67.83
1,10,0.168,13.91,67.80
Query 8 - 10 persons - probability 0.5
1,10,0.159,9.83,67.81
1,10,0.159,14.69,67.90
1,10,0.173,15.82,67.24
Query 8 - 100 persons - probability 0.0002
1,100,0.818,19.09,96.94
1,100,0.812,16.08,101.11
1,100,0.892,16.41,100.75
Query 8 - 100 persons - probability 0.25
1,100,0.819,18.83,101.30
1,100,0.811,15.39,100.28
1,100,0.906,17.02,100.09
Query 8 - 100 persons - probability 0.5
1,100,0.835,17.75,103.18
1,100,0.802,18.73,103.30
1,100,1.178,15.57,102.95
Query 8 - 500 persons - probability 0.0002
1,504,3.850,14.20,232.95
1,504,3.916,13.12,231.35
1,504,3.808,14.31,232.89
Query 8 - 500 persons - probability 0.25
1,609,4.379,13.83,275.57
1,609,4.248,14.99,277.37
1,609,4.304,14.02,277.16
Query 8 - 500 persons - probability 0.5
1,775,5.147,13.81,322.75
1,775,5.192,13.54,322.46
1,775,5.123,14.26,322.74
Query 8 - 1000 persons - probability 0.0002
1,1009,7.238,14.33,400.21
1,1009,7.658,14.23,401.44
1,1009,6.875,13.43,407.70
Query 8 - 1000 persons - probability 0.25
1,1214,8.259,14.47,485.47
1,1214,7.662,13.66,486.52
1,1214,7.415,13.72,485.92
Query 8 - 1000 persons - probability 0.5
1,1579,8.845,13.82,307.78
1,1579,9.986,14.14,312.41
1,1579,8.943,14.26,303.30
Query 8 - 2000 persons - probability 0.0002
1,2014,12.230,14.02,719.77
1,2014,12.189,14.15,718.44
1,2014,12.162,14.21,718.68
Query 8 - 2000 persons - probability 0.25
1,2455,13.735,13.91,863.57
1,2455,12.111,14.13,862.39
1,2455,12.304,13.84,865.79
Query 8 - 2000 persons - probability 0.5
1,3164,14.652,13.54,1100.46
1,3164,15.371,14.17,1096.96
1,3164,14.593,14.40,1099.40
Query 8 - 3500 persons - probability 0.0002
1,3525,17.994,13.58,1241.66
1,3525,18.712,13.88,1240.98
1,3525,18.166,13.86,1241.76
Query 8 - 3500 persons - probability 0.25
1,4321,21.641,13.79,1436.18
1,4321,22.696,14.06,1477.75
1,4321,21.509,14.09,1433.77
Query 8 - 3500 persons - probability 0.5
1,5538,26.735,13.98,1957.44
1,5538,26.716,13.42,1962.56
1,5538,26.465,13.79,1923.09
Query 9 - 10 persons - probability 0.0002
12,9,0.165,14.08,66.89
12,9,0.146,12.07,67.24
12,9,0.151,11.67,67.41
Query 9 - 10 persons - probability 0.25
12,9,0.162,13.19,67.63
12,9,0.152,10.21,67.25
12,9,0.146,10.71,67.27
Query 9 - 10 persons - probability 0.5
12,10,0.160,14.69,68.29
12,10,0.164,10.75,68.05
12,10,0.161,12.03,68.03
Query 9 - 100 persons - probability 0.0002
12,77,0.646,16.64,104.10
12,77,0.649,19.83,104.46
12,77,0.646,16.62,104.13
Query 9 - 100 persons - probability 0.25
12,78,0.667,16.97,104.25
12,78,0.695,18.52,102.48
12,78,0.638,14.98,104.61
Query 9 - 100 persons - probability 0.5
12,89,0.770,17.98,102.07
12,89,0.700,18.38,101.55
12,89,0.739,16.10,97.66
Query 9 - 500 persons - probability 0.0002
12,410,2.841,14.92,240.30
12,410,2.777,15.68,236.74
12,410,2.734,16.00,239.15
Query 9 - 500 persons - probability 0.25
12,522,3.156,14.73,271.21
12,522,3.159,14.77,270.94
12,522,3.259,15.70,270.95
Query 9 - 500 persons - probability 0.5
12,719,3.864,15.97,312.24
12,719,4.430,14.24,314.61
12,719,4.047,14.38,317.51
Query 9 - 1000 persons - probability 0.0002
12,808,5.237,13.80,372.88
12,808,5.060,15.13,376.66
12,808,5.142,14.39,373.25
Query 9 - 1000 persons - probability 0.25
12,1028,5.821,14.59,456.02
12,1028,5.890,14.03,456.57
12,1028,5.893,14.81,456.45
Query 9 - 1000 persons - probability 0.5
12,1445,7.397,14.60,291.08
12,1445,8.125,14.54,300.97
12,1445,7.565,14.33,284.65
Query 9 - 2000 persons - probability 0.0002
12,1614,9.455,14.96,669.68
12,1614,9.452,14.98,668.46
12,1614,9.584,14.67,669.96
Query 9 - 2000 persons - probability 0.25
12,2087,11.180,14.12,833.77
12,2087,11.628,14.86,836.70
12,2087,11.430,14.39,838.61
Query 9 - 2000 persons - probability 0.5
12,2902,14.545,13.74,1092.50
12,2902,14.078,14.01,1078.21
12,2902,14.547,13.95,1099.50
Query 9 - 3500 persons - probability 0.0002
12,2801,15.705,15.20,1171.88
12,2801,15.535,14.53,1173.20
12,2801,15.659,13.57,1171.65
Query 9 - 3500 persons - probability 0.25
12,3655,19.038,13.47,1470.91
12,3655,18.903,13.76,1468.26
12,3655,19.441,13.38,1462.18
Query 9 - 3500 persons - probability 0.5
12,5060,26.080,14.24,1902.80
12,5060,24.869,14.45,1906.50
12,5060,26.104,14.07,1885.81
Query 10 - 10 persons - probability 0.0002
0,9,0.076,15.30,65.17
0,9,0.075,10.36,65.04
0,9,0.081,21.49,64.96
Query 10 - 10 persons - probability 0.25
0,9,0.125,12.50,63.80
0,9,0.122,14.45,65.52
0,9,0.117,9.85,65.14
Query 10 - 10 persons - probability 0.5
0,10,0.139,11.24,65.38
0,10,0.129,12.02,65.52
0,10,0.135,11.49,65.53
Query 10 - 100 persons - probability 0.0002
0,77,0.264,13.30,73.17
0,77,0.210,12.97,76.47
0,77,0.219,15.06,73.60
Query 10 - 100 persons - probability 0.25
0,86,0.419,13.93,77.38
0,86,0.399,13.69,77.59
0,86,0.404,13.52,77.09
Query 10 - 100 persons - probability 0.5
0,92,0.493,17.00,87.90
0,92,0.508,15.74,87.52
0,92,0.492,16.25,88.43
Query 10 - 500 persons - probability 0.0002
25,410,2.777,16.95,228.69
25,410,2.813,15.76,230.39
25,410,2.927,15.08,247.50
Query 10 - 500 persons - probability 0.25
25,601,3.570,15.48,299.21
25,601,3.411,15.29,298.43
25,601,3.524,15.40,299.90
