Query execution time,CPU load,Memory usage,#Results,HTTP requests
28.646,13.02,1239.63,115,2840
28.125,12.76,1238.25,115,2840
Query 10 - 3500 persons - probability 0.01
29.224,12.82,1267.64,115,2931
28.532,12.75,1255.88,115,2931
29.469,12.82,1272.26,115,2931
Query 10 - 3500 persons - probability 0.016
28.613,12.73,1276.55,115,2936
29.033,13.16,1270.66,115,2936
28.460,12.56,1323.07,115,2936
Query 11 - 10 persons - probability 0.001
0.149,15.67,64.52,0,10
0.120,9.71,64.70,0,10
0.085,11.34,64.57,0,10
Query 11 - 10 persons - probability 0.01
0.078,17.63,65.24,0,10
0.076,23.19,64.78,0,10
0.078,14.87,64.65,0,10
Query 11 - 10 persons - probability 0.016
0.117,14.96,64.95,0,10
0.127,10.74,63.10,0,10
0.117,11.75,65.30,0,10
Query 11 - 100 persons - probability 0.001
0.362,11.88,74.58,0,100
0.338,14.38,74.45,0,100
0.326,12.50,74.80,0,100
Query 11 - 100 persons - probability 0.01
0.276,13.40,73.99,0,100
0.331,14.72,73.93,0,100
0.283,13.07,73.93,0,100
Query 11 - 100 persons - probability 0.016
0.419,12.59,74.84,0,100
0.350,15.03,74.04,0,100
0.342,15.93,74.14,0,100
Query 11 - 500 persons - probability 0.001
4.942,14.03,329.62,1,726
4.751,13.32,321.80,1,726
4.698,13.18,319.06,1,726
Query 11 - 500 persons - probability 0.01
4.809,14.54,324.09,1,738
4.714,14.00,328.39,1,738
4.653,14.48,363.41,1,738
Query 11 - 500 persons - probability 0.016
4.639,13.69,325.75,1,733
4.727,13.76,328.67,1,733
4.683,13.63,326.21,1,733
Query 11 - 1000 persons - probability 0.001
13.178,13.89,612.34,4,1471
12.778,13.22,612.75,4,1471
12.605,13.03,613.87,4,1471
Query 11 - 1000 persons - probability 0.01
12.693,13.34,632.05,4,1507
13.136,12.85,632.05,4,1507
12.737,13.69,633.25,4,1507
Query 11 - 1000 persons - probability 0.016
12.671,13.50,633.36,4,1496
12.920,13.44,629.54,4,1496
12.686,12.93,629.82,4,1496
Query 11 - 2000 persons - probability 0.001
33.810,12.82,1103.71,7,2985
33.746,12.72,1092.73,7,2985
34.034,12.68,1101.51,7,2985
Query 11 - 2000 persons - probability 0.01
34.281,12.69,1116.48,7,3040
33.687,12.80,1119.99,7,3040
34.101,12.72,1120.75,7,3040
Query 11 - 2000 persons - probability 0.016
33.804,12.72,1123.32,7,3038
33.431,12.92,1112.56,7,3038
34.167,12.87,1123.21,7,3038
Query 11 - 3500 persons - probability 0.001
73.490,12.64,1997.09,10,5280
73.148,12.54,1989.55,10,5280
73.454,12.89,1988.09,10,5280
Query 11 - 3500 persons - probability 0.01
73.697,12.61,1990.98,10,5383
73.703,12.64,2003.21,10,5383
73.250,12.67,2009.03,10,5383
Query 11 - 3500 persons - probability 0.016
73.589,12.75,2037.58,10,5395
74.056,12.59,2037.68,10,5395
73.071,12.65,2040.71,10,5395
Query 12 - 10 persons - probability 0.001
0.101,13.74,64.41,0,1
0.082,14.18,64.46,0,1
0.072,18.84,64.50,0,1
Query 12 - 10 persons - probability 0.01
0.069,14.13,64.43,0,1
0.064,12.12,64.74,0,1
0.062,15.73,64.58,0,1
Query 12 - 10 persons - probability 0.016
0.075,12.83,64.35,0,1
0.156,13.69,64.65,0,1
0.069,13.93,64.75,0,1
